,Date,Open,High,Low,Close,Adj Close,Volume,SMA50,SMA200,Prev. Day Close,Change in Price,Percent change in Price,Previous Day Volume,Change in Volume,Percentage change in Volume
0,2004-08-19,50.050048828125,52.0820808410645,48.0280265808106,50.2202186584473,50.2202186584473,44659000,,,,,,,,
1,2004-08-20,50.5555572509766,54.5945930480957,50.3003005981445,54.2092094421387,54.2092094421387,22834300,,,50.2202186584473,3.9889907836914,0.0794299764168875,44659000,-21824700,-0.488696567321257
2,2004-08-23,55.4304313659668,56.7967948913574,54.5795783996582,54.754753112793,54.754753112793,18256100,,,54.2092094421387,0.545543670654297,0.0100636713995359,22834300,-4578200,-0.200496621310923
3,2004-08-24,55.6756744384766,55.8558540344238,51.8368377685547,52.4874877929688,52.4874877929688,15247300,,,54.754753112793,-2.26726531982422,-0.0414076439200397,18256100,-3008800,-0.164810666023959
4,2004-08-25,52.5325317382813,54.0540542602539,51.9919929504395,53.0530548095703,53.0530548095703,9188600,,,52.4874877929688,0.565567016601563,0.0107752731247566,15247300,-6058700,-0.397362155922688
5,2004-08-26,52.5275268554688,54.0290298461914,52.382381439209,54.0090103149414,54.0090103149414,7094800,,,53.0530548095703,0.955955505371094,0.0180188588348478,9188600,-2093800,-0.227869316326753
6,2004-08-27,54.1041030883789,54.3643646240234,52.8978996276856,53.1281280517578,53.1281280517578,6211700,,,54.0090103149414,-0.880882263183594,-0.0163099130690773,7094800,-883100,-0.124471443874387
7,2004-08-30,52.6926918029785,52.7977981567383,51.0560569763184,51.0560569763184,51.0560569763184,5196700,,,53.1281280517578,-2.07207107543945,-0.039001394391702,6211700,-1015000,-0.163401323309239
8,2004-08-31,51.2012023925781,51.9069061279297,51.1311302185059,51.2362365722656,51.2362365722656,4917800,,,51.0560569763184,0.180179595947266,0.00352905427128536,5196700,-278900,-0.0536686743510305
9,2004-09-01,51.4014015197754,51.5365371704102,49.8848838806152,50.1751747131348,50.1751747131348,9138200,,,51.2362365722656,-1.06106185913086,-0.0207092075865934,4917800,4220400,0.858188620928057
10,2004-09-02,49.644645690918,51.2362365722656,49.5195198059082,50.8058052062988,50.8058052062988,15118600,,,50.1751747131348,0.630630493164063,0.0125685759296215,9138200,5980400,0.654439605173885
11,2004-09-03,50.5255241394043,50.9209213256836,49.7097091674805,50.0550537109375,50.0550537109375,5152400,,,50.8058052062988,-0.750751495361328,-0.0147768841043435,15118600,-9966200,-0.659201248792878
12,2004-09-07,50.5555572509766,51.0510520935059,49.8548545837402,50.8408393859863,50.8408393859863,5847500,,,50.0550537109375,0.785785675048828,0.0156984283662276,5152400,695100,0.134908004036954
